Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
91;El Hadji Malick Diouf;sn SEN;West Ham;20-276;2004;6;6;540;6.0;0;3;3;0;0;0;1;0;0.2;0.2;0.7;0.9;12;18;29;0.00;0.50;0.50;0.00;0.50;0.03;0.12;0.15;0.03;0.15;Matches
92;Ben Doak;sct SCO;Bournemouth;19-323;2005;1;0;17;0.2;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;2;0.00;0.00;0.00;0.00;0.00;0.43;0.00;0.43;0.43;0.43;Matches
93;Matt Doherty;ie IRL;Wolves;33-257;1992;3;3;225;02.mai;0;0;0;0;0;0;3;0;0.1;0.1;0.0;0.1;0;5;0;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
94;Jeremy Doku;be BEL;Manchester City;23-126;2002;6;4;374;04.feb;0;3;3;0;0;0;0;0;0.6;0.6;02.jan;02.jul;43;13;43;0.00;0.72;0.72;0.00;0.72;0.14;0.52;0.65;0.14;0.65;Matches
95;Nicolás Domínguez;ar ARG;Nott'ham Forest;27-094;1998;1;1;45;0.5;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
96;Gianluigi Donnarumma;it ITA;Manchester City;26-217;1999;3;3;270;3.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
97;Patrick Dorgu;dk DEN;Manchester Utd;20-339;2004;5;5;445;04.sep;0;1;1;0;0;0;2;0;0.2;0.2;0.8;1.0;16;7;40;0.00;0.20;0.20;0.00;0.20;0.05;0.16;0.21;0.05;0.21;Matches
98;Max Dowman;eng ENG;Arsenal;15-273;2009;2;0;27;0.3;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;4;0;6;0.00;0.00;0.00;0.00;0.00;0.43;0.00;0.43;0.43;0.43;Matches
99;Martin Dúbravka;sk SVK;Burnley;36-258;1989;6;6;540;6.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
100;Lewis Dunk;eng ENG;Brighton;33-313;1991;6;6;540;6.0;0;0;0;0;0;0;2;0;0.3;0.3;0.0;0.3;1;16;1;0.00;0.00;0.00;0.00;0.00;0.05;0.01;0.05;0.05;0.05;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
101;Odsonne Édouard;fr FRA;Crystal Palace;27-257;1998;1;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
